name,address1,city,state,code,country,website,descript
Cooper's Cave Ale Company,2 Sagamore Street,Glens Falls,New York,12801,United States,http://www.cooperscaveale.com/,"Cooper's Cave Ale Company, Ltd. Micro Brewery is the realized goal of three ale lovers, Ed, Pat and Adrian Bethel. A passion for great English style ales led us to commercially produce small quantities on a brewing system which we built. We gladly welcome visitors to our brewery and tasting room, and now we welcome you to learn more about Cooper's Cave Ale Company."
Coopers Brewery,461 South Road,Regency Park,South Australia,,Australia,http://www.coopers.com.au/,"Coopers Brewery produce a range of Ales,Stouts and Lagers.   Our ale range is brewed by a method of top fermentation, originating in the Middle Ages.  Coopers uses only natural ingredients including malt, hops, sugar, water and a special yeast strain that's over 90 years old.  Coopers do not use preservatives or chemicals in their ale range.   Coopers also produce Stout and Lager beers.  The Lager beers are bottom fermented in cooler conditions, matured for a short period and pasteurised."
Cooperstown Brewing Company,"River Street, P.O. Box 276",Milford,New York,13807,United States,http://www.cooperstownbrewing.com/,
Coors Brewing - Golden Brewery,311 Tenth Street,Golden,Colorado,80401,United States,http://www.coors.com,"In 1873, as the United States approached its centennial year, its people were busy building a new kind of nation. It was thirsty work. And that's where Coors Brewing Company came in. When we began in that same year, we were a small, family-owned brewery, located at the foot of the Rocky Mountains. We were busy creating the same kind of crisp, refreshing beer we're known for today. While hundreds of such family-owned breweries have come and gone in the years since, we believe the reasons for our success are simple. We've never compromised on quality in producing our award-winning brews and we've never lost sight of our rich Rocky Mountain heritage. Just as important, we've always believed in doing well by doing good. We treat our employees with respect, we support the local communities where we do business, and we strive to protect the environment. That's just how we do business."
Copper Dragon Brewing,,Carbondale,Illinois,62901,United States,,(No longer brewing)
Copper Eagle Brewing,,Grand Island,Nebraska,,United States,,
Copper Kettle Brewery,339 Fairground Rd,Millmont,Pennsylvania,17845,United States,http://www.ckbrewery.com/,"Copper Kettle Brewery is an up and coming brewery owned by Harold Kerlin and Russ Eisenhuth. We have been independently brewing beer for the past 6 years. In 2006 we won First place in the Sam Adams Longshot contest for the northeast region of the U.S. with our Potbelly Porter. After that we decided to start our own brewery. The Brewery is located in just outside of Laurelton PA. We are a small production brewery using a one barrel brewing system. We hope to produce around 50 barrels a year. At present we are making 4 different styles of beer. A Wheat beer, Porter, Grand Cru, and Belgian Dubbel. All of our beer is unfiltered, and bottle conditioned. Our beers are now available at the Bull Run Inn, Market St., Lewisburg, The Beer Barn, Lewisburg and Wehr's Beverages, Mifflinburg."
Corner Pub,100 Main Street,Reedsburg,Wisconsin,53959,United States,,
Coronado Brewing Company,170 Orange Avenue,Coronado,California,92118,United States,http://www.coronadobrewingcompany.com/,"The Coronado Brewing Company, in beautiful Coronado (located just a few minutes from downtown San Diego) welcomes you to come and enjoy quality handcrafted beers and delicious food in a casual family environment. Join us for a refreshing pint while we make you one of our signature pizzas or calzones in the wood fired oven, or choose from a wide selection of fresh seafood, steaks, pastas and dining specials. The Coronado Brewing Company is perfect for a quick lunch, a relaxing beverage or a wonderful dinner. If you're a sports fan come relax with a cold beer and an appetizer while watching your favorite team on one of our many HD TV's. Open 7 days a week from 11:00 am (until closing) & offering a weekly happy hour (M-F) from (2-5pm)."
Costal Extreme Brewing Company,307 Oliphant Lane,Middletown,Rhode Island,2842,United States,http://www.newportstorm.com/,
Courage Brewery,Tadcaster LS24 9SA,Tadcaster,North Yorkshire,,United Kingdom,,
Court Avenue Brewing,309 Court Avenue,Des Moines,Iowa,50309,United States,,
Courthouse Pub,1001 South Eighth Street,Manitowoc,Wisconsin,54220,United States,,
Crabby Larry's Brewpub Steak & Crab House,237 West Butler Avenue,Chalfont,Pennsylvania,18914,United States,http://www.crabbylarrys.com/,
Crabtree Brewery,625 3rd St. #D,Greeley,Colorado,80631,United States,http://www.crabtreebrewing.com,"The Crabtree Brewing Company is dedicated to serving the environment, the community, our customers, and our valued employees.  Requiring the best ingredients to support unique premium beers.  Keeping a dynamic business mind while remaining modestly profitable.   Employing technology, embracing ethics, growing to meet the needs of our customers and employees, and having fun doing what we loveï¿½.Making Great Beer."
Craftsman Brewing,1260 Lincoln Avenue #100,Pasadena,California,91103,United States,,
Crane River Brewpub and Cafe,,Lincoln,Nebraska,,United States,,
Crescent City Brewhouse,527 Decatur Street,New Orleans,Louisiana,70130,United States,,
Crested Butte Brewery &  Pub,226 Elk Avenue,Crested Butte,Colorado,81224,United States,,
Cricket Hill,24 Kulick Road,Fairfield,New Jersey,7004,United States,http://www.crickethillbrewery.com,"We believe that New Jersey is starting to learn what the rest of the country already knows; that local microbrews are some of the best beers in the world! Finally, curious beer drinkers are stepping out from under the mind-numbing barrage of large brewery advertising and deciding for themselves what they like. Our beers are designed for those curious drinkers. The large breweries use fillers in their beer; Corn or Rice are the most frequently used. Most good beer should be all Barley, in the same way that good hamburgers are all beef. Barley is expensive and the more fillers that are used, the better the profits! Cricket Hill Beers are 100% Barley as are most great beers. Please take the time to taste different local beers. I am certain that those who decide not to let television dictate what they drink are ready for a wonderful adventure into the world of Beer!"
